,Header,Summary,Detail,Link,Category
0,KP Assembly deputy speaker escapes attack in Peshawar,"“We had gathered for the inauguration ceremony of the feed distribution scheme when the attack happened,” says Mahmood Jan.","PESHAWAR: Khyber Pakhtunkhwa Assembly Deputy Speaker Mahmood Jan remained unhurt in a firing incident occurred in Shagai area of the provincial capital on Friday.
According to reports, inauguration ceremony of an animal feed distribution scheme launched by the livestock department was underway when the firing took place.
“We had gathered for the inauguration ceremony of the feed distribution scheme when the attack happened,” Mr Jan told Dawn, adding that he had a land dispute with some locals, but that was resolved at the Commissioner’s House recently.
“My family owns the land since 1870. My rivals had taken oath on the holy Quran that they would abide by the settlement reached at the Commissioner’s House, but even then they attacked me,” Mr Jan claimed.
The police said shots were fired at the place. “The gate and the walls of the hujra, where the function was being held, bore some bullet marks,” a police official deputed at a checkpost in the area, informed Dawn, saying a search operation was underway to arrest the culprits.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727967/kp-assembly-deputy-speaker-escapes-attack-in-peshawar,peshawar
1,"Waziristan, Lakki and Bannu trouble spots: police",Official says most extortion calls made from Afghanistan.,"PESHAWAR: After analysing the overall law and order situation in Khyber Pakhtunkhwa during the outgoing year, the police department has declared South and North Waziristan, Lakki Marwat and Bannu districts as terrorist trouble spots.
“Southern districts, including North and South Waziristan [from among the newly-merged tribal districts] as well as Lakki Marwat and Bannu districts [from settled areas], are trouble spots,” additional inspector general of police (operations) Mohammad Ali Babakhel told reporters here on Friday.
Mr Babakhel said that the annual analysis of the security situation revealed a surge in the number of extortion calls from Afghanistan after the Taliban’s takeover of Pakistan’s Western neighbouring country.
He also said that the number of targeted attacks against police increased in 2022 compared with the previous year.

Official says most extortion calls made from Afghanistan

The police official said that the exit of foreign troops, including the US and allies, from Afghanistan left behind arms worth Rs7 billion that were “bound to end up in someone’s hands.”
He said that the number of suicide attacks in the province 
also escalated in the outgoing year, while most of the extortion calls received by the local residents were made from Afghanistan.
“Our neighbourhood [Afghanistan] is primarily the origin of extortion calls. Some local criminals were also involved in these crimes,” he said.
Mr Babakhel said that the counter-terrorism department arrested 158 extortionists wanted in 81 cases, while 62 suspects were taken into custody for kidnapping people for ransom.
He said that the CTD arrested 806 militants, including 90 with head money, and killed 196 militants during operations in the province.
The police official said that 2,609 “threat alerts” were issued with 93 per cent of them being general and six specific.
He also said 129 alerts involved people and 41 alerts were for different locations.
Mr Babakhel said that 118 police personnel were killed and 117 suffered injuries in operations against criminals, including terrorists.
He also said that the police arrested around 129,637 outlaws and seized 22,416 weapons and 511,447 rounds of bullets in 20,601 “search and strike operations” across the province in the outgoing year.
“The presence of militants in Swat and other Malakand areas was reported by the media, and everyone saw an immediate response to it by our police,” he said.
The police official said the police carried out a total of 1,877 search and strike operations and 148 intelligence-based operations in Malakand district during 2022 leading to the killing and arrest of several militants and extortionists.
He said that it was the top priority of the police to promote public policing and establish a prosperous and peaceful society in the province.
Mr Babakhel said that the anti-state elements and criminals didn’t deserve any concession, so the police bosses had ordered a strict crackdown on them according to the law.
He said the police had also been directed to ensure the maintaining of law and order.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727966/waziristan-lakki-and-bannu-trouble-spots-police,peshawar
2,Quaid Day Cycle Race to be held tomorrow,PESHAWAR: The Khyber Pakhtunkhwa Cycling Association will organise a cycle race on Dec 25 in Peshawar to commemorate...,"PESHAWAR: The Khyber Pakhtunkhwa Cycling Association will organise a cycle race on Dec 25 in Peshawar to commemorate the birthday of Pakistan’s founding father Quiad-i-Azam Mohammad Ali Jinnah.
“The Khyber Pakhtunkhwa Cycling Association is going to organise a Quaid Day Cycle Race with a total of 40 cyclists participating,” said the association’s president Nisar Ahmad while talking to mediapersons here on Friday. 
He said that all arrangements in this connection had been completed for the smooth conduct of the race on the main Northern Bypass. 
He said that a sports cycle race would also be organised in which athletes from all the districts of the province would participate. 
He said that the opening ceremony would be held at 8am at the Northern Bypass, while the closing ceremony would be held at the Sarhad Chamber of Commerce and Industries. 
The chamber president Mohammad Ishaq will be the chief guest. Mr Ahmed said that more than 40 athletes would participate in the 28km race, and trophies and cash prizes would be distributed among the first six position holders.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727965/quaid-day-cycle-race-to-be-held-tomorrow,peshawar
3,Confusion prevails over winter break,"Dept cancels vacation but IMS, Charsadda varsity to close campus","PESHAWAR: The government’s announcement of winter vacation cancellation caused a lot of confusion among the administrations and students of universities on Friday.
The higher education department announced that winter holidays for all public and private sector universities and colleges in the summer zone had been “waived off.”
It also declared that all winter zone colleges and universities would remain closed from Dec 1 to Feb 15.
However, the Institute of Management Sciences Peshawar and Bacha Khan University Charsadda announced the start of the winter break from Dec 25.
The winter vacation in the IMS will last until Dec 30 and in the Bacha Khan University Charsadda until Jan 3.

Dept cancels vacation but IMS, Charsadda varsity to close campus

The Bacha Khan University announced the winter break for students from Dec 26 to Jan 3.
Heads of departments, members of the administration staff, and the conveners and members of the convocation committee will remain present at the workplace.
A teacher of the University of Peshawar told Dawn that the faculty members were in constant contact with the administration for the winter vacation decision.
He, however, said the administration was not clear on the matter.
The Peshawar Valley and all southern districts of the province are located in the summer zone and northern parts, including Malakand and Hazara divisions, in the winter zone.
The elementary and secondary education department also announced on Thursday that there won’t be winter break in the winter zone schools to address learning losses caused by the Covid-19 pandemic.
The Private Schools Regulatory Authority also directed all privately-owned educational institutions in the province to follow the department’s winter and summer vacation orders “in letter and spirit.”
Meanwhile, people in Charsadda rejected the elementary and secondary education department’s decision about the winter vacation as an unwise move.
They told reporters that the district was in the grip of heavy fog and severe cold, leaving the schoolchildren vulnerable to cold-related diseases, so they should be asked to stay home until the situation improved.
The residents said excessive power outages and low gas pressure had added to the misery of minor students.
They demanded of the government to withdraw the immediate cancellation of winter holidays to the relief of schoolchildren.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727964/confusion-prevails-over-winter-break,peshawar
4,Kohat jail security beefed up,KOHAT: The authorities have beefed up security of Kohat prison on the directives of senior military and police...,"KOHAT: The authorities have beefed up security of Kohat prison on the directives of senior military and police officials after their visit to the facility a few days ago.
Three militants, including Zakeem Shah, an expert in making improvised explosives devices, had escaped from the prison in the past.
Jail superintendent Abdul Bari told Dawn on Friday that the Kohat jail also housed 18 miscreants sentenced under Anti-Terrorism Act.
He said the security measures included installation of floodlights and 24-hour patrolling around the jail, adding height of the boundary wall had also been raised to thwart any potential militant attack from outside.
The district police officer and military officials had visited the jail and reviewed the security arrangements there in the wake of the deteriorating law and order situation in the province.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727963/kohat-jail-security-beefed-up,peshawar
5,Insaf Rozgar Scheme’s second phase launched,PESHAWAR: Khyber Pakhtunkhwa Chief Minister Mahmood Khan has launched the second phase of the Insaf Rozgar Scheme...,"PESHAWAR: Khyber Pakhtunkhwa Chief Minister Mahmood Khan has launched the second phase of the Insaf Rozgar Scheme worth Rs700 million, under which, interest-free loans will be provided to people between 18 to 50 years of age.
The scheme, meant for only the permanent residents of the merged districts, will offer interest-free loans from Rs50,000 to Rs1 million.
The scheme was launched at a function, according to a statement issued from the Chief Minister’s House on Friday.
“Insaf Rozgar Scheme is undoubtedly a poor-friendly initiative of the KP government, which will provide self-employment opportunities to the jobless citizens of the merged areas,” the statement quoted Mahmood Khan as saying. The chief minister said removing longstanding deprivations of the people of merged districts was the topmost priority of his government.
“With the completion of the scheme, there will be a positive change in the lifestyles of the people of merged districts,” Mahmood said, adding that despite numerous challenges, work on welfare and development activities in the merged districts was in full swing.
Briefing the participants about the scheme, the managing director of the Bank of Khyber said that the first phase of the scheme was launched in June 2020 with a total outlay of Rs1.1 billion. He said that a total of 4,576 jobless people had received interest-free loans in the first phase.
Calling it the most feasible and result-oriented initiative of the provincial government, he said that 90 per cent of loans issued in the first phase were recovered, adding that an additional 3,000 jobless people would receive loans during the second phase.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727962/insaf-rozgar-schemes-second-phase-launched,peshawar
6,"Lawyer among seven acquitted in judge, family murder case","SWABI: A court here on Friday acquitted seven people, including former president of the Supreme Court Bar ...","SWABI: A court here on Friday acquitted seven people, including former president of the Supreme Court Bar Association Abdul Lateef Afridi, on the charge of killing anti-terrorism court judge Aftab Afridi and his four family members last year.
Additional district and sessions judge Abid Zaman declared that the prosecution had failed to prove its case against the accused, including Lateef Afridi, his son and former civil judge Danish Afridi, Bilal Afridi, Daud Afridi, Aziz Afridi, Zakir Shah and Shehzad.
ATC judge Aftab Afridi, who was posted to Swat, came under a gun attack near Ambar Interchange on April 4, 2021, when he was travelling in his vehicle with his family on the Peshawar-Islamabad Motorway.
The ambush killed the judge, his wife and his pregnant daughter-in-law along with her three-year-old son and injured his guard and driver.
The Chota Lahor police station had registered the FIR of the attack on the complaint of the slain judge’s son, Abdul Majid Afridi, who named several people, including Lateef Afridi, for the murders.
The accused were booked under sections 302, 324, 353, 427 and 109 of the Pakistan Penal Code and Section 7 of the Anti-Terrorism Act. The challan (final charge sheet) of the case was submitted to the Mardan ATC afterwards.
Earlier this year, the Peshawar High Court had ordered the removal of Section 7 of the Anti- Terrorism Act from the case and ordered the transfer of the trial to a regular court.
The prosecution alleged that two of the accused, including Zakir Shah and Shehzad, were the gunmen, while Bilal Afridi, Daud Afridi and Aziz Afridi masterminded the murders.
Lateef Afridi was accused of abetting the crime.
Defence counsel Shabbir Hussain Gigyani, Mian Sher Akbar and Hussain Ali contended that their clients were falsely implicated in the case.
They added that the complainant and prosecution witnesses failed to prove the presence of the petitioners at the crime site, while the evidence available on record also confirmed it, so their testimony was not admissible.
The lawyers contended that it was a high-profile case but the police carried out “unfair investigation due to the pressure” of certain quarters.
They argued that the confessional statements of two of the accused were obtained under duress and by torture and that the accused were kept in illegal detention for many days.
The complainant’s counsel and state prosecutor contended that the motive behind the murder was clearly proved as both families had enmity.
They said two of the arrested killers had recorded their statements admitting their and others’ involvement in the crime. They also contended that the accused didn’t deserve leniency for killing the judge and his family members in a brutal manner.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727961/lawyer-among-seven-acquitted-in-judge-family-murder-case,peshawar
7,Man sentenced to death for killing transgender person in Charsadda,"The court rules that in case of non-payment of fine, the convict will undergo additional six months imprisonment.","CHARSADDA: A district and sessions judge here on Friday convicted a man for killing a transgender person last year and awarded him death sentence with a fine of Rs1 million.
Judge Sofia Waqar Khattak pronounced that the evidence on record connected the accused, Shah Faisal, with commission of the offence.
The court ruled that in case of non-payment of fine, the convict would undergo additional six months imprisonment.
Faisal, a resident of Paindakhel area here, had killed transgender individual, namely Javed alias Gulalai, after exchanging hot words with him on Oct 23, 2021.
The complainant in the case was Akhter Hussain, a brother of the deceased.
District public prosecutor Javed Ali Mohmand and public prosecutor Mohammadullah Khan appeared before the court and contended that the police had arrested the accused after the occurrence and the weapon used in the offence was also recovered from him.
They contended that the accused was directly charged in the FIR and the prosecution had fully proved its case against him.
SHOT DEAD: A man shot dead his father-in-law here on Friday.
A daughter of the deceased, Hayat Gul of Babara area, reported to the Nesata police station that a year ago, she was married to the suspected killer, Qasid. But, she said some days ago, the accused had divorced her on some domestic dispute, and she started living with her father.
She said on the day of the incident, her former husband visited their house and insisted she go with him to his house. 
She said her father refused, telling him she couldn’t go with him after she was divorced. On which, she said the accused opened fire, killing her father on the spot. 
The police filed a report and started further investigations.
Separately, a man belonging to Chota Lahor, Swabi, died and three others, including two women, sustained serious injuries, when the car they were travelling in overturned after crashing onto the safety grill of the motorway near Najeemabad Bridge due to heavy fog.
Sardheri police said the car driver, Rasul Khan, died on the spot, while Usman, Asma and Shehla got serious wounds. The injured were brought to the District Headquarters Hospital, Charsadda.
*Published in Dawn, Decembe
",https://www.dawn.com/news/1727960/man-sentenced-to-death-for-killing-transgender-person-in-charsadda,peshawar
8,Reconstruction of GT Road in Haripur begins,HARIPUR: Reconstruction work on GT Road through Haripur city would be completed within six months at a cost of Rs950...,"HARIPUR: Reconstruction work on GT Road through Haripur city would be completed within six months at a cost of Rs950 million, former Pakistan Muslim League-Nawaz MNA Babar Nawaz Khan claimed on Friday.
Talking to reporters here, he said following public complaints regarding the dilapidated condition of the road, federal minister for communication Maulana Asad Mahmood had, on his request, approved the project of reconstructing a 26km stretch of the road between Jhari Kas to Shah Maqsood. He said the reconstruction would raise the existing level of the artery up to 13 centimeters in line with the national standard for highways.
He said the project was divided into three sections, including Jhari Kass to Panian 9.5km, 6.5km from Panian to Darwesh and 9.5km from Darwesh to Shah Maqsood. 
Babar Nawaz said the total length of the road was 26km, but he would try to ensure the reconstruction of the whole stretch of 30km within the limits of Haripur district.
He said work on the first section had begun, while the work order of the second section was likely to be issued within couple of days, and third section would also be approved by the federal minister within next couple of weeks. He said the work was scheduled to be completed within six months.
The former lawmaker said widening of Daidan Bridge on the GT Road was also included in the reconstruction work on his request. He said reconstruction of the road would help reduce travel time and control road accidents.
A National Highway Authority team led by deputy director Ameer Khan and village council chairman Ishtiaq Haider were also present.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727959/reconstruction-of-gt-road-in-haripur-begins,peshawar
9,Meeting reviews arrangements for polio campaign,"SWAT: Health officials said here on Friday that about 455,659 children across the district would be vaccinated in ...","SWAT: Health officials said here on Friday that about 455,659 children across the district would be vaccinated in the upcoming anti-polio campaign from January16 to 20. 
They were speaking in a meeting held at the district administration’s office. Additional deputy commissioner Sohail Ahmad Khan, district health officer Dr Mohammad Salim Khan, Polio N-Stop officer Dr Zeeshan, assistant commissioners, officials and representatives of education, health, police and other relevant departments participated in the meeting. 
Briefing the participants, Dr Zeeshan said that about 1928 teams had been formed to administer polio drops to children below five years of age. 
“Over 424 area in-charges and 98 medical officers will lead the teams during the campaign. In addition, about 22 officers of the district administration and health department will monitor the drive as the district polio monitoring team,” he said and added that about 72 officers would monitor the drive at the tehsil level. 
Dr Zeeshan said that the vaccination teams would also be present at bus stands, hospitals, BHUs, dispensaries and all the entry and exit points of the district.
Published in Dawn, December 24th, 2022
",https://www.dawn.com/news/1727958/meeting-reviews-arrangements-for-polio-campaign,peshawar
